task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
119	c4/f15e06	2030871	calibrate:CALIBRATE (119)	COMPLETED	0	2025-05-08 05:44:12.678	14m 44s	14m 39s	99.0%	747.4 MB	1.1 GB	278.3 MB	61.8 MB
48	f0/907035	2030795	calibrate:CALIBRATE (48)	COMPLETED	0	2025-05-08 05:27:11.218	31m 51s	31m 44s	99.4%	700.8 MB	1 GB	274.6 MB	58.4 MB
126	0a/af81ed	2030877	calibrate:CALIBRATE (126)	COMPLETED	0	2025-05-08 05:45:42.727	14m 14s	14m 6s	99.0%	710 MB	1 GB	260.9 MB	42.1 MB
122	b0/bd5c85	2030874	calibrate:CALIBRATE (122)	COMPLETED	0	2025-05-08 05:45:27.830	14m 39s	14m 33s	99.0%	712.2 MB	1 GB	278.4 MB	62.2 MB
99	08/6904ee	2030849	calibrate:CALIBRATE (99)	COMPLETED	0	2025-05-08 05:40:13.873	20m 8s	20m 4s	99.1%	709.9 MB	1 GB	261.6 MB	42.7 MB
98	f5/9141de	2030850	calibrate:CALIBRATE (98)	COMPLETED	0	2025-05-08 05:40:22.667	20m 14s	20m 8s	99.1%	711.5 MB	1 GB	279.2 MB	63.1 MB
139	c9/62e7ba	2030889	calibrate:CALIBRATE (139)	COMPLETED	0	2025-05-08 05:47:47.686	15m 59s	15m 51s	99.1%	692.9 MB	1 GB	272.5 MB	55.4 MB
162	4d/d689bc	2030915	calibrate:CALIBRATE (162)	COMPLETED	0	2025-05-08 05:52:57.670	11m 34s	11m 28s	99.0%	717.3 MB	1 GB	268.8 MB	50.8 MB
147	a4/0d84bb	2030898	calibrate:CALIBRATE (147)	COMPLETED	0	2025-05-08 05:49:02.731	15m 39s	15m 31s	99.3%	703.5 MB	1 GB	274.3 MB	58.3 MB
164	d6/e2e23d	2030917	calibrate:CALIBRATE (164)	COMPLETED	0	2025-05-08 05:53:07.580	13m 14s	13m 10s	99.1%	705.2 MB	1 GB	288.7 MB	72.5 MB
52	99/5bdbb0	2030798	calibrate:CALIBRATE (52)	COMPLETED	0	2025-05-08 05:27:52.835	38m 34s	38m 29s	99.4%	729.5 MB	1.1 GB	295.1 MB	80.3 MB
95	aa/92c01a	2030846	calibrate:CALIBRATE (95)	COMPLETED	0	2025-05-08 05:40:07.603	27m 9s	27m 5s	99.2%	695.6 MB	1 GB	271.2 MB	54.5 MB
163	50/80a403	2030916	calibrate:CALIBRATE (163)	COMPLETED	0	2025-05-08 05:52:58.208	15m 34s	15m 29s	99.2%	710 MB	1 GB	260 MB	41.1 MB
150	af/08b84f	2030902	calibrate:CALIBRATE (150)	COMPLETED	0	2025-05-08 05:50:22.552	18m 24s	18m 18s	99.4%	707.2 MB	1 GB	254.3 MB	35.3 MB
59	ca/819358	2030806	calibrate:CALIBRATE (59)	COMPLETED	0	2025-05-08 05:30:42.552	39m 15s	39m 9s	99.4%	694.9 MB	1 GB	278.6 MB	62 MB
132	75/bf3131	2030884	calibrate:CALIBRATE (132)	COMPLETED	0	2025-05-08 05:46:52.750	23m 4s	22m 57s	99.2%	720.9 MB	1.1 GB	283.8 MB	68.3 MB
138	7f/c111b6	2030890	calibrate:CALIBRATE (138)	COMPLETED	0	2025-05-08 05:48:07.626	22m 4s	21m 58s	99.2%	721.8 MB	1.1 GB	304.1 MB	90.9 MB
165	e0/3a3261	2030920	calibrate:CALIBRATE (165)	COMPLETED	0	2025-05-08 05:53:17.635	17m 4s	16m 58s	99.2%	716.2 MB	1 GB	283.8 MB	68.6 MB
158	a0/91869a	2030909	calibrate:CALIBRATE (158)	COMPLETED	0	2025-05-08 05:51:47.563	19m 24s	19m 18s	99.2%	714.7 MB	1 GB	263.4 MB	45.1 MB
152	34/ab9f3b	2030904	calibrate:CALIBRATE (152)	COMPLETED	0	2025-05-08 05:50:47.654	21m 24s	21m 21s	99.4%	741.8 MB	1.1 GB	313.5 MB	101.6 MB
141	6f/80273c	2030892	calibrate:CALIBRATE (141)	COMPLETED	0	2025-05-08 05:48:37.751	28m 4s	27m 55s	99.2%	719.5 MB	1 GB	268 MB	50 MB
97	cf/6ac28c	2030848	calibrate:CALIBRATE (97)	COMPLETED	0	2025-05-08 05:40:13.355	38m 14s	38m 7s	99.3%	692.8 MB	1 GB	274.4 MB	57.2 MB
144	b9/2bb505	2030896	calibrate:CALIBRATE (144)	COMPLETED	0	2025-05-08 05:48:47.920	35m 14s	35m 7s	99.5%	688.4 MB	1 GB	274.6 MB	57.4 MB
161	6a/95a1bf	2030913	calibrate:CALIBRATE (161)	COMPLETED	0	2025-05-08 05:52:32.640	34m 14s	34m 8s	99.4%	684.4 MB	1 GB	273.1 MB	55.7 MB
25	c0/d2db3c	2030772	calibrate:CALIBRATE (25)	COMPLETED	0	2025-05-08 05:26:58.481	1h 16m 9s	1h 16m	99.5%	782.5 MB	1.1 GB	305.8 MB	93.4 MB
15	8e/da9ebc	2030762	calibrate:CALIBRATE (15)	COMPLETED	0	2025-05-08 05:26:52.432	1h 18m 15s	1h 18m 8s	99.4%	745.7 MB	1.1 GB	309.5 MB	97.6 MB
43	de/cd0406	2030789	calibrate:CALIBRATE (43)	COMPLETED	0	2025-05-08 05:27:07.928	1h 21m 4s	1h 21m 1s	99.5%	749.8 MB	1.1 GB	309.3 MB	97.4 MB
28	42/969c11	2030775	calibrate:CALIBRATE (28)	COMPLETED	0	2025-05-08 05:27:00.152	1h 24m 27s	1h 24m 18s	99.5%	753.6 MB	1.1 GB	311.8 MB	100.3 MB
29	c1/daca99	2030777	calibrate:CALIBRATE (29)	COMPLETED	0	2025-05-08 05:27:01.212	1h 27m 11s	1h 27m 3s	99.5%	781.2 MB	1.1 GB	310.7 MB	99 MB
55	13/deebd6	2030803	calibrate:CALIBRATE (55)	COMPLETED	0	2025-05-08 05:30:27.608	1h 24m 19s	1h 24m 13s	99.5%	753.3 MB	1.1 GB	312.4 MB	101 MB
41	64/cb53c5	2030788	calibrate:CALIBRATE (41)	COMPLETED	0	2025-05-08 05:27:07.405	1h 28m 20s	1h 28m 13s	99.5%	751.9 MB	1.1 GB	311 MB	99.3 MB
115	03/5ab828	2030865	calibrate:CALIBRATE (115)	COMPLETED	0	2025-05-08 05:43:42.793	1h 16m 29s	1h 16m 23s	99.5%	790.5 MB	1.1 GB	313.3 MB	101.9 MB
57	95/f9562f	2030804	calibrate:CALIBRATE (57)	COMPLETED	0	2025-05-08 05:30:28.148	1h 34m 39s	1h 34m 34s	99.6%	752.7 MB	1.1 GB	313.5 MB	102.2 MB
136	cc/6e7c5d	2030886	calibrate:CALIBRATE (136)	COMPLETED	0	2025-05-08 05:47:27.700	1h 30m 54s	1h 30m 48s	99.5%	789.4 MB	1.1 GB	311.5 MB	99.9 MB
110	ce/2729b4	2030860	calibrate:CALIBRATE (110)	COMPLETED	0	2025-05-08 05:42:42.652	1h 36m 4s	1h 35m 57s	99.5%	851.7 MB	1.2 GB	346 MB	140.3 MB
