task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
90	ca/814b4d	2030550	run_tasks:CREATE_PSMS (90)	COMPLETED	0	2025-05-08 00:01:29.156	37m 5s	36m 59s	58.0%	1.8 GB	2 GB	423 GB	8.4 GB
97	99/061f74	2030567	run_tasks:CREATE_PSMS (97)	COMPLETED	0	2025-05-08 00:25:29.295	13m 24s	13m 17s	44.1%	1.3 GB	1.4 GB	210.3 GB	3.7 GB
93	59/0d43e4	2030563	run_tasks:CREATE_PSMS (93)	COMPLETED	0	2025-05-08 00:19:34.215	22m 15s	22m 7s	52.3%	436.5 MB	604.6 MB	243.9 GB	5.8 GB
89	8e/d671ac	2030554	run_tasks:CREATE_PSMS (89)	COMPLETED	0	2025-05-08 00:12:34.229	32m 10s	32m 6s	58.3%	1.5 GB	1.7 GB	380.9 GB	7.5 GB
104	4a/a7ed48	2030575	run_tasks:CREATE_PSMS (104)	COMPLETED	0	2025-05-08 00:33:34.649	11m 14s	11m 10s	61.7%	1 GB	1.2 GB	129.6 GB	2.9 GB
80	39/a4331d	2030534	run_tasks:CREATE_PSMS (80)	COMPLETED	0	2025-05-07 23:36:44.078	1h 13m 25s	1h 13m 17s	61.3%	1.3 GB	1.5 GB	1001.5 GB	15.9 GB
111	68/6e7581	2030582	run_tasks:CREATE_PSMS (111)	COMPLETED	0	2025-05-08 00:38:54.341	16m 14s	16m 10s	61.3%	576.1 MB	745 MB	214.2 GB	3.4 GB
81	aa/76d6f8	2030535	run_tasks:CREATE_PSMS (81)	COMPLETED	0	2025-05-07 23:38:14.146	1h 17m 10s	1h 17m 2s	61.4%	1.6 GB	1.8 GB	1017.5 GB	16.3 GB
117	c5/05b49c	2030596	run_tasks:CREATE_PSMS (117)	FAILED	186	2025-05-08 00:55:24.375	4.4s	3ms	-	-	-	-	-
118	40/08d837	2030597	run_tasks:CREATE_PSMS (118)	FAILED	186	2025-05-08 00:55:29.308	9.5s	5s	-	-	-	-	-
113	22/e8db0b	2030587	run_tasks:CREATE_PSMS (113)	COMPLETED	0	2025-05-08 00:44:44.406	13m 24s	13m 16s	51.2%	1.5 GB	1.7 GB	253.4 GB	3.4 GB
106	1f/c19d93	2030577	run_tasks:CREATE_PSMS (106)	COMPLETED	0	2025-05-08 00:35:24.306	28m 29s	28m 26s	52.5%	1.3 GB	1.4 GB	712.7 GB	6.9 GB
121	3c/8f7fda	2030603	run_tasks:CREATE_PSMS (121)	FAILED	186	2025-05-08 01:03:54.405	9.4s	5s	-	-	-	-	-
115	ca/5da1f4	2030589	run_tasks:CREATE_PSMS (115)	COMPLETED	0	2025-05-08 00:50:09.400	18m 14s	18m 9s	55.2%	296.5 MB	461.7 MB	220.8 GB	4.6 GB
122	7e/fdb0d5	2030605	run_tasks:CREATE_PSMS (122)	FAILED	186	2025-05-08 01:08:26.362	7.4s	5s	-	-	-	-	-
109	44/b031fa	2030580	run_tasks:CREATE_PSMS (109)	COMPLETED	0	2025-05-08 00:37:39.335	45m	44m 54s	63.9%	2.8 GB	3 GB	560.3 GB	10 GB
119	41/dd02f6	2030599	run_tasks:CREATE_PSMS (119)	COMPLETED	0	2025-05-08 00:55:39.301	28m 40s	28m 36s	60.5%	2.3 GB	2.5 GB	313 GB	6.3 GB
120	35/83e8be	2030601	run_tasks:CREATE_PSMS (120)	COMPLETED	0	2025-05-08 00:58:09.385	32m	31m 57s	63.5%	2.4 GB	2.6 GB	388.5 GB	7 GB
127	eb/63578a	2030611	run_tasks:CREATE_PSMS (127)	FAILED	186	2025-05-08 01:30:09.731	4.3s	4ms	-	-	-	-	-
112	df/4424b4	2030586	run_tasks:CREATE_PSMS (112)	COMPLETED	0	2025-05-08 00:41:49.319	50m 5s	49m 58s	46.7%	2.9 GB	3.1 GB	1 TB	14.9 GB
124	5e/17e4be	2030606	run_tasks:CREATE_PSMS (124)	COMPLETED	0	2025-05-08 01:08:34.836	26m 34s	26m 28s	61.3%	1.8 GB	2 GB	315.2 GB	5.7 GB
114	3b/6c2f18	2030588	run_tasks:CREATE_PSMS (114)	COMPLETED	0	2025-05-08 00:44:49.339	51m 15s	51m 7s	62.1%	683.9 MB	853.6 MB	673.5 GB	11.4 GB
131	e8/ab0534	2030615	run_tasks:CREATE_PSMS (131)	FAILED	186	2025-05-08 01:36:04.677	4.4s	1ms	-	-	-	-	-
128	02/ddfbd3	2030612	run_tasks:CREATE_PSMS (128)	COMPLETED	0	2025-05-08 01:30:14.575	9m 55s	9m 49s	59.1%	598.5 MB	767.5 MB	113.8 GB	2.2 GB
130	b4/e179ea	2030614	run_tasks:CREATE_PSMS (130)	COMPLETED	0	2025-05-08 01:35:09.694	9m 14s	9m 8s	56.2%	544.7 MB	712.7 MB	103.3 GB	2 GB
129	0c/c5c877	2030613	run_tasks:CREATE_PSMS (129)	COMPLETED	0	2025-05-08 01:31:54.726	13m 29s	13m 26s	57.7%	755.2 MB	923.8 MB	165.5 GB	3.4 GB
108	38/18f540	2030579	run_tasks:CREATE_PSMS (108)	COMPLETED	0	2025-05-08 00:35:54.266	1h 11m	1h 10m 53s	63.9%	2.8 GB	3 GB	925.2 GB	13.4 GB
133	b3/790d0f	2030617	run_tasks:CREATE_PSMS (133)	COMPLETED	0	2025-05-08 01:40:09.927	7m 49s	7m 46s	32.7%	568.2 MB	736.6 MB	86.8 GB	2.5 GB
126	84/b895e9	2030607	run_tasks:CREATE_PSMS (126)	COMPLETED	0	2025-05-08 01:22:39.645	31m 25s	31m 20s	57.9%	1.2 GB	1.4 GB	371.6 GB	7.1 GB
137	93/8cfbf3	2030626	run_tasks:CREATE_PSMS (137)	COMPLETED	0	2025-05-08 01:47:59.706	10m	9m 52s	51.7%	566.5 MB	735 MB	102.4 GB	2 GB
116	61/e31a0f	2030595	run_tasks:CREATE_PSMS (116)	COMPLETED	0	2025-05-08 00:55:09.292	1h 7m 40s	1h 7m 36s	64.5%	2.6 GB	2.8 GB	904.1 GB	13.1 GB
132	c1/3a1f62	2030616	run_tasks:CREATE_PSMS (132)	COMPLETED	0	2025-05-08 01:36:09.592	28m 25s	28m 19s	61.0%	1.3 GB	1.5 GB	349.7 GB	6.9 GB
110	29/6388d2	2030581	run_tasks:CREATE_PSMS (110)	COMPLETED	0	2025-05-08 00:38:34.332	1h 33m 20s	1h 33m 14s	64.6%	3.7 GB	6.6 GB	1.1 TB	18.5 GB
140	47/f8bdaa	2030631	run_tasks:CREATE_PSMS (140)	COMPLETED	0	2025-05-08 02:02:50.050	9m 34s	9m 28s	47.0%	266.6 MB	434 MB	98.7 GB	2.3 GB
139	10/b83fdd	2030630	run_tasks:CREATE_PSMS (139)	COMPLETED	0	2025-05-08 01:58:00.032	18m 49s	18m 46s	56.3%	857.3 MB	1 GB	221.7 GB	5.1 GB
135	65/ed3c2d	2030622	run_tasks:CREATE_PSMS (135)	COMPLETED	0	2025-05-08 01:45:24.731	34m 15s	34m 10s	49.4%	3.1 GB	3.3 GB	686.3 GB	9.2 GB
136	ee/23a25b	2030625	run_tasks:CREATE_PSMS (136)	COMPLETED	0	2025-05-08 01:46:54.755	34m 35s	34m 28s	60.1%	1.4 GB	1.6 GB	422 GB	8.1 GB
125	48/a28186	2030608	run_tasks:CREATE_PSMS (125)	COMPLETED	0	2025-05-08 01:24:19.874	1h 2m 45s	1h 2m 38s	59.0%	3.7 GB	4.6 GB	678.4 GB	13.8 GB
138	34/40046f	2030627	run_tasks:CREATE_PSMS (138)	COMPLETED	0	2025-05-08 01:54:05.517	33m 9s	33m 4s	59.6%	1.7 GB	1.9 GB	391.4 GB	7.8 GB
143	e1/6cca9b	2030641	run_tasks:CREATE_PSMS (143)	COMPLETED	0	2025-05-08 02:16:50.068	19m 14s	19m 8s	63.7%	895.5 MB	1 GB	251.3 GB	4.6 GB
142	e8/f1f37f	2030637	run_tasks:CREATE_PSMS (142)	COMPLETED	0	2025-05-08 02:11:55.162	25m 14s	25m 6s	57.6%	1.1 GB	1.3 GB	291.2 GB	5.4 GB
141	e4/3a8e75	2030633	run_tasks:CREATE_PSMS (141)	COMPLETED	0	2025-05-08 02:04:35.079	36m 44s	36m 38s	47.2%	2.9 GB	3.1 GB	696 GB	9 GB
145	fe/a78854	2030644	run_tasks:CREATE_PSMS (145)	COMPLETED	0	2025-05-08 02:19:40.143	27m 24s	27m 20s	43.8%	1.8 GB	2 GB	490.6 GB	7.5 GB
153	91/a1d5e0	2030661	run_tasks:CREATE_PSMS (153)	FAILED	186	2025-05-08 02:47:05.131	9.4s	5s	-	-	-	-	-
134	5e/35bb3b	2030620	run_tasks:CREATE_PSMS (134)	COMPLETED	0	2025-05-08 01:44:24.677	1h 3m 15s	1h 3m 9s	60.3%	1.9 GB	2 GB	809.6 GB	14.6 GB
155	f2/160614	2030663	run_tasks:CREATE_PSMS (155)	FAILED	186	2025-05-08 02:47:40.111	4.4s	2ms	-	-	-	-	-
